read a corrupted data seg, read 0 bytes
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
c=1, v=0.000000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000; c=0, v=-0.080000
